Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
China,CHN,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,1994.848,2819.923,2324.878,1958.178,2031.518,2112.192,2570.567,2801.588,2687.911,3762.342,5507.834,7179.986,9288.511,11477.71,14451.647,16985.544,19383.762,23256.114,26307.058,27799.527,27341.152,24407.552,22918.75,23457.799,24246.204,24840.258,26373.064,26622.42,27333.818,28844.622,29324.999,30802.8,30263.751,35756.917,41602.115,42471.194,44506.379,44194.684,50542.261,54616.298,59845.44,67212.443,72973.3,60795.193,71579.84,85026.729,103838.439,129584.446,149873.957,164549.291,196855.561,,,
Colombia,COL,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,689.396,711.398,1074.431,1305.452,1382.459,1705.155,2024.184,2108.525,2178.198,2427.554,2717.247,3014.274,3538.655,3689.002,3571.658,3600.994,3703.67,4206.049,5573.84,5977.21,6912.295,7389.005,7730.036,8478.104,8525.775,7356.002,6901.294,7190.987,7539.352,7069.976,8379.095,8701.791,8371.761,8650.453,8984.15,8302.088,10241.931,12464.133,13032.518,11210.019,12497.136,13270.873,13256.205,12691.487,13358.881,14018.941,14044.61,14044.61,15056.702,17205.564,18848.38,,,
Comoros,COM,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
"Congo, Dem. Rep.",ZAR,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.334,14.668,14.668,14.668,14.668,,,
"Congo, Rep.",COG,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.334,80.674,139.346,161.348,29.336,33.003,33.003,14.668,0.0,3.667,3.667,3.667,0.0,3.667,3.667,3.667,7.334,3.667,3.667,3.667,3.667,3.667,3.667,102.676,201.685,201.685,201.685,201.685,253.023,253.023,275.025,238.355,0.0,0.0,33.003,36.67,44.004,44.004,40.337,47.671,106.343,66.006,,,
Costa Rica,CRI,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Cote d'Ivoire,CIV,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.342,858.078,1404.461,1639.149,2394.551,2420.22,2625.572,2676.91,2350.547,2988.605,3336.97,3135.285,2889.596,3039.943,2786.92,3058.278,,,
Croatia,HRV,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4316.059,4547.08,4290.39,4429.736,4965.118,5144.801,4946.783,5016.456,5060.46,5302.482,5427.16,5397.824,5628.845,5445.495,5383.156,6186.229,5900.203,5504.167,6028.548,,,
Cuba,CUB,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.667,14.668,29.336,36.67,33.003,40.337,33.003,22.002,33.003,33.003,25.669,18.335,14.668,7.334,11.001,11.001,44.004,40.337,62.339,69.673,69.673,40.337,44.004,36.67,33.003,36.67,69.673,231.021,883.747,1103.767,1144.104,1122.102,1265.115,1353.123,1426.463,2082.856,2277.207,2229.536,2218.535,2060.854,,,
Curacao,CUW,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Czech Republic,CZE,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13281.874,12218.444,13259.872,15005.364,17271.57,17564.93,17601.6,17696.942,17176.228,18397.339,17777.616,17960.966,17836.288,17641.937,17333.909,16402.491,16307.149,15405.067,17363.245,,,
Denmark,DNK,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.336,216.353,1287.117,2130.527,2706.246,3171.955,3615.662,3850.35,4184.047,4389.399,5009.122,5628.845,6571.264,8203.079,9006.152,9783.556,10285.935,10190.593,10604.964,10597.63,10674.637,10612.298,10076.916,10388.611,9303.179,9328.848,8921.811,10131.921,,,
